교과목명,분반,교수,개설학과전공,이수구분,영역,캠퍼스,학점/이론/실습,시간표,수업유형,수강안내 및 지정내용,평점,출결,시험,과제,조모임,성적,예측_강의력,예측_풀강
영사법무 사례연구,1,한동만,법학부,심화전공,3영역,수정,3.0/3.0/0.0,수/4-6,일반,"영사외교에 대한 이론 강의, 외교부 방문으로 재미있는 강의이므로 외교부에 관심있는 학생은 수강신청해 주세요",3.75,직접호명,두 번,보통,없음,너그러움,보통,모름
가족법,1,김세준,법학부,심화전공,4영역,수정,3.0/3.0/0.0,목/1-3,일반(블렌디드형),,4.58,전자출결,두 번,없음,없음,보통,좋음,풀강
사회보장법,1,문준혁,법학부,심화전공,4영역,수정,3.0/3.0/0.0,금/4-6,일반,,5,모름,모름,모름,모름,모름,모름,모름
형법연습,1,김나경,법학부,심화전공,4영역,수정,3.0/3.0/0.0,화/7-9,일반(블렌디드형),,4.81,전자출결,두 번,없음,없음,보통,좋음,모름
연구개발과 과학기술법,1,이재훈,법학부,심화전공,4영역,수정,3.0/3.0/0.0,화/1-3,원격(녹화콘텐츠),,3.8,전자출결,두 번,없음,없음,보통,모름,풀강 아님
법률 상담 실무,1,이민경,법학부,심화전공,4영역,수정,3.0/3.0/0.0,월/4-6,일반(블렌디드형),P/NP 강좌,5,전자출결,두 번,없음,보통,너그러움,좋음,모름
특수범죄와 형벌,1,이명근,법학부,심화전공,4영역,수정,3.0/3.0/0.0,수/7-9,일반,,4.71,직접호명,두 번,없음,없음,너그러움,좋음,모름
조합 및 그래프 이론,1,윤기헌,수리통계데이터사이언스학부,핵심전공,1영역,수정,3.0/2.0/1.0,월/4-6,일반,[1학년 전공탐색] [GeM(겸험적수리적추리)],3.49,전자출결,두 번,보통,없음,보통,나쁨,풀강
통계적 사고,1,신준호,수리통계데이터사이언스학부,핵심전공,1영역,수정,3.0/3.0/0.0,수/7-9,일반(블렌디드형),"[수리통계데이터사이언스학부 통계학, BDS, 통계학과] 전공인정 과목
수리통계데이터사이언스학부(통계학 전공, BDS 전공) 25학번 1학년만 신청하세요.",4.67,전자출결,두 번,없음,없음,너그러움,보통,풀강 아님
통계적 사고,2,김영선,수리통계데이터사이언스학부,핵심전공,1영역,수정,3.0/3.0/0.0,수/7-9,일반,,3.35,복합적,두 번,보통,없음,보통,보통,풀강
데이터사이언스입문,1,정호현,수리통계데이터사이언스학부,핵심전공,1영역,수정,3.0/3.0/0.0,목/4-6,원격(녹화콘텐츠),[1학년 전공탐색] [GeM(SW문해)],4.41,전자출결,두 번,보통,없음,보통,좋음,풀강 아님
미적분과 벡터해석 기초,1,한범석,수리통계데이터사이언스학부,공통교양,경험적수리적추리,수정,3.0/2.0/1.0,화/7-9,일반,"수학·핀테크 주전공 1학년 (25학번) / 20-24학번 수학·핀테크·수학과 주전공생 중 미이수자, 재수강생만 신청하세요. (20학번부터 이공계열 필수이수과목)",3.65,직접호명,두 번,없음,없음,보통,좋음,풀강
미적분과 벡터해석 기초,2,김탁원,수리통계데이터사이언스학부,공통교양,경험적수리적추리,수정,3.0/2.0/1.0,월/7-9,일반(블렌디드형),"통계학·빅데이터사이언스 주전공 1학년 (25학번) / 20-24학번 통계학·빅데이터사이언스·통계학과 주전공생 중 미이수자, 재수강생만 신청하세요. (20학번부터 이공계열 필수이수과목)",4.28,전자출결,두 번,없음,없음,보통,좋음,풀강 아님
미적분과 벡터해석 기초,3,최현옥,수리통계데이터사이언스학부,공통교양,경험적수리적추리,운정,3.0/2.0/1.0,화/7-9,일반,"화학에너지융합학부 주전공 1학년 (25학번) / 20-24학번 화학과, 화학에너지융합학부 주전공생 중 미이수자, 재수강생만 신청하세요. (20학번부터 이공계열 필수이수과목)",3.04,전자출결,두 번,보통,없음,보통,나쁨,풀강
미적분과 벡터해석 기초,4,강영훈,수리통계데이터사이언스학부,공통교양,경험적수리적추리,수정,3.0/2.0/1.0,화/7-9,일반,창의융합학부 학부생 수강 가능,4.37,전자출결,두 번,없음,없음,보통,좋음,풀강 아님
미적분과 벡터해석 기초,5,안소영,수리통계데이터사이언스학부,공통교양,경험적수리적추리,운정,3.0/2.0/1.0,목/1-3,일반,"바이오식품공학과 주전공 1학년 (25학번) / 20-24학번 바이오식품공학과 주전공생 중 미이수자, 재수강생만 신청하세요. (20학번부터 이공계열 필수이수과목)",4.03,전자출결,두 번,많음,없음,보통,좋음,풀강
미적분과 벡터해석 기초,6,조명원,수리통계데이터사이언스학부,공통교양,경험적수리적추리,운정,3.0/2.0/1.0,목/7-9,일반,"바이오신약의과학부 주전공 1학년 (25학번)/ 20-24학번 바이오신약의과학부, 글로벌의과학과 주전공생 중 미이수자, 재수강생만 신청하세요./창의융합학부 수강가능",4.59,직접호명,두 번,보통,없음,보통,좋음,풀강 아님
미적분과 벡터해석 기초,7,강성봉,수리통계데이터사이언스학부,공통교양,경험적수리적추리,운정,3.0/2.0/1.0,목/4-6,일반,창의융합학부 학부생 수강 가능,4.31,직접호명,두 번,보통,없음,보통,좋음,풀강 아님
기초 통계학,1,박만식,수리통계데이터사이언스학부,공통교양,경험적수리적추리,수정,3.0/2.0/1.0,수/4-6,일반,"통계학과, 통계학, BDS 20-25학번 주전공생만 수강신청하세요",2.6,전자출결,두 번,많음,없음,깐깐함,좋음,풀강
기초 통계학,2,박희원,수리통계데이터사이언스학부,공통교양,경험적수리적추리,수정,3.0/2.0/1.0,수/4-6,일반,"수학과, 수학, 핀테크 20-25학번 주전공생만 신청하세요",3.63,전자출결,두 번,보통,없음,보통,좋음,풀강
기초 통계학,3,신준호,수리통계데이터사이언스학부,공통교양,경험적수리적추리,수정,3.0/2.0/1.0,수/4-6,일반(블렌디드형),"IT계열 주/부/복수 전공(20-25학번) / 수학과, 통계학과, 수학, 핀테크, 통계학, BDS 부복수전공 (20~24학번)",3.63,전자출결,두 번,보통,없음,보통,나쁨,풀강
기초 통계학,4,원형묵,수리통계데이터사이언스학부,공통교양,경험적수리적추리,수정,3.0/2.0/1.0,수/4-6,일반,"IT계열 주/부/복수 전공(20-25학번) / 수학과, 통계학과, 수학, 핀테크, 통계학, BDS 부복수전공 (20~24학번)",4.39,전자출결,두 번,없음,없음,너그러움,보통,풀강
기초 통계학,5,김계완,수리통계데이터사이언스학부,공통교양,경험적수리적추리,수정,3.0/2.0/1.0,수/4-6,일반,"IT계열 주/부/복수 전공(20-25학번) / 수학과, 통계학과, 수학, 핀테크, 통계학, BDS 부복수전공 (20~24학번)",1.95,전자출결,두 번,많음,없음,보통,나쁨,풀강
기초 통계학,6,문준서,수리통계데이터사이언스학부,공통교양,경험적수리적추리,수정,3.0/2.0/1.0,금/4-6,일반,"IT계열 주/부/복수 전공(20-25학번) / 수학과, 통계학과, 수학, 핀테크, 통계학, BDS 부복수전공 (20~24학번)",2.14,직접호명,두 번,보통,없음,보통,나쁨,풀강
해석학개론 및 연습 1,1,한범석,수학,핵심전공,2영역,수정,3.0/2.0/1.0,수/7-9,일반,,3.83,직접호명,두 번,없음,없음,보통,좋음,모름
선형대수학 및 연습 1,1,문현석,수학,핵심전공,2영역,수정,3.0/2.0/1.0,목/4-6,일반,,4.43,전자출결,두 번,보통,없음,보통,좋음,풀강
선형대수학 및 연습 1,2,김수리,수학,핵심전공,2영역,수정,3.0/2.0/1.0,목/4-6,일반,,5,전자출결,두 번,없음,없음,보통,좋음,풀강 아님
수학적 모델링과 미분방정식,1,한범석,수학,핵심전공,2영역,수정,3.0/2.0/1.0,화/4-6,일반,,4.47,직접호명,두 번,없음,없음,보통,좋음,풀강
정수론 및 연습,1,황정연,수학,핵심전공,2영역,수정,3.0/2.0/1.0,수/4-6,일반,,2.75,직접호명,두 번,보통,없음,보통,나쁨,모름
다변수미적분학 및 연습,1,윤기헌,수학,핵심전공,2영역,수정,3.0/2.0/1.0,월/7-9,일반,,4.54,직접호명,두 번,보통,없음,보통,좋음,풀강
머신러닝을 위한 수학,1,김주홍,수학,핵심전공,2영역,수정,3.0/2.0/1.0,화/7-9,일반,[GeM(경험적수리적추리)],2.43,직접호명,두 번,보통,없음,보통,나쁨,풀강 아님
현대대수학 및 연습 1,1,문현석,수학,심화전공,3영역,수정,3.0/2.0/1.0,월/7-9,일반,,4,모름,모름,모름,모름,모름,좋음,풀강 아님
복소함수론 및 연습,1,황정연,수학,심화전공,3영역,수정,3.0/2.0/1.0,수/7-9,일반,,2.62,직접호명,두 번,보통,없음,보통,나쁨,풀강
수학 교과교육론,1,정해남,수학,심화전공,3영역,수정,3.0/2.0/1.0,목/4-6,일반,수학 교직이수자 대상 그 외 학생은 면담 후 신청가능합니다.,3.75,직접호명,두 번,보통,보통,보통,좋음,모름
수학 논리 및 논술,1,정해남,수학,심화전공,3영역,수정,3.0/2.0/1.0,수/7-9,일반,교직이수자 중 교육실습학기 학생만 신청가능하고 그 외 학생은 상담 후 신청하세요.,모름,모름,모름,모름,모름,모름,모름,모름
금융사회와 수학,1,김주홍,수학,심화전공,3영역,수정,3.0/3.0/0.0,화/4-6,일반,,2.43,직접호명,두 번,보통,없음,보통,나쁨,모름
위상수학 및 연습 1,1,윤기헌,수학,심화전공,3영역,수정,3.0/2.0/1.0,화/7-9,일반,,5,직접호명,두 번,보통,없음,보통,좋음,모름
고급 수학적 프로그래밍,1,김수리,수학,심화전공,3영역,수정,3.0/1.0/2.0,수/4-6,일반(블렌디드형),,4.29,반영안함,두 번,보통,없음,너그러움,좋음,모름
수치적 데이터 처리,1,김탁원,수학,심화전공,4영역,수정,3.0/2.0/1.0,화/4-6,일반,,모름,모름,모름,모름,모름,모름,모름,모름
통계프로그래밍,1,신준호,통계학,핵심전공,2영역,수정,3.0/0.0/3.0,화/7-9,일반,"[통계학과, 통계학,BDS 전공 인정 교과목]",4.2,전자출결,두 번,보통,없음,보통,좋음,모름
통계프로그래밍,2,엄인옥,통계학,핵심전공,2영역,수정,3.0/0.0/3.0,금/4-6,일반,"[통계학과, 통계학,BDS 전공 인정 교과목]",4.44,직접호명,두 번,없음,없음,보통,좋음,풀강 아님
보험통계학,1,차재형,통계학,핵심전공,2영역,수정,3.0/3.0/0.0,목/7-9,일반,"[통계학과, 통계학,BDS 전공 인정 교과목]",4.22,직접호명,두 번,보통,없음,보통,좋음,풀강
수리통계학 1,1,박만식,통계학,핵심전공,2영역,수정,3.0/3.0/0.0,목/1-3,일반,"[통계학과, 통계학,BDS 전공 인정 교과목]
수학 교직 이수를 위해 수강을 희망하는 학생은 제3교학팀으로 연락 바랍니다.",3.21,전자출결,두 번,많음,없음,보통,좋음,풀강
탐색적 자료분석,1,최태화,통계학,핵심전공,2영역,수정,3.0/2.0/1.0,월/4-6,일반,"[통계학과, 통계학, BDS 전공 인정 교과목] 실습 강의로 수강시 노트북 지참부탁드립니다.",4.28,전자출결,두 번,보통,없음,보통,좋음,풀강 아님
탐색적 자료분석,2,김윤태,통계학,핵심전공,2영역,수정,3.0/2.0/1.0,수/4-6,일반,"[통계학과, 통계학,BDS 전공 인정 교과목]",2.64,직접호명,두 번,없음,없음,보통,나쁨,모름
R통계분석,1,박만식,통계학,핵심전공,2영역,수정,3.0/1.0/2.0,화/1-3,일반,"[통계학과, 통계학,BDS 전공 인정 교과목]",3.12,전자출결,두 번,보통,없음,보통,좋음,풀강
R통계분석,2,정호현,통계학,핵심전공,2영역,수정,3.0/1.0/2.0,화/1-3,일반,"[통계학과, 통계학,BDS 전공 인정 교과목]",4.63,전자출결,두 번,보통,없음,보통,좋음,풀강 아님
R통계분석,3,임요한,통계학,핵심전공,2영역,수정,3.0/1.0/2.0,화/1-3,일반,"[통계학과, 통계학,BDS 전공 인정 교과목]",4.63,전자출결,두 번,보통,보통,보통,좋음,풀강 아님
사회조사방법론,1,김용섭,통계학,심화전공,3영역,수정,3.0/0.0/3.0,수/7-9,일반,,3.45,전자출결,한 번,없음,많음,보통,보통,풀강
회귀분석실습,1,이성건,통계학,심화전공,3영역,수정,3.0/0.0/3.0,월/7-9,일반,"[통계학과, 통계학, BDS 전공 인정 교과목]",3.83,전자출결,두 번,보통,없음,보통,좋음,풀강
회귀분석실습,2,박성오,통계학,심화전공,3영역,수정,3.0/0.0/3.0,화/4-6,일반,,3.71,직접호명,두 번,많음,없음,보통,보통,모름
범주형자료분석,1,김동하,통계학,심화전공,3영역,수정,3.0/2.0/1.0,화/4-6,일반,"[통계학과, 통계학, BDS 전공 인정 교과목]",4.32,전자출결,두 번,보통,없음,보통,좋음,모름
범주형자료분석,2,최태화,통계학,심화전공,3영역,수정,3.0/2.0/1.0,수/7-9,일반,"[통계학과, 통계학, BDS 전공 인정 교과목]",4.5,전자출결,두 번,보통,없음,보통,좋음,모름
범주형자료분석,3,조재범,통계학,심화전공,3영역,수정,3.0/2.0/1.0,금/7-9,일반,"[통계학과, 통계학, BDS 전공 인정 교과목]",4.67,전자출결,두 번,보통,없음,보통,좋음,풀강
통계시뮬레이션,1,박만식,통계학,심화전공,3영역,수정,3.0/2.0/1.0,월/1-3,일반,,3.83,직접호명,두 번,많음,없음,보통,좋음,풀강
다변량자료분석 I,1,박관영,통계학,심화전공,4영역,수정,3.0/2.0/1.0,수/4-6,일반(블렌디드형),,4.83,전자출결,두 번,보통,없음,보통,좋음,모름
경영경제 자료분석,1,박희원,통계학,심화전공,4영역,수정,3.0/2.0/1.0,화/7-9,일반,,모름,모름,모름,모름,모름,모름,모름,모름
빅데이터통계분석,1,정호현,통계학,심화전공,4영역,수정,3.0/1.0/2.0,월/4-6,일반,,4.67,전자출결,두 번,보통,없음,보통,좋음,모름
데이터기반 인공지능1,1,김동하,빅데이터사이언스,심화전공,3영역,수정,3.0/2.0/1.0,수/1-3,일반,,3.76,전자출결,한 번,보통,많음,보통,좋음,모름
최적화와 통계계산,1,박성오,빅데이터사이언스,심화전공,3영역,수정,3.0/2.0/1.0,목/4-6,일반(블렌디드형),,3.8,직접호명,두 번,보통,없음,보통,보통,풀강 아님
고급기계학습,1,박관영,빅데이터사이언스,심화전공,4영역,수정,3.0/2.0/1.0,화/7-9,일반,,4.83,직접호명,두 번,보통,없음,너그러움,좋음,모름
금융 데이터베이스,1,이수용,핀테크,심화전공,3영역,수정,3.0/2.0/1.0,수/4-6,일반,,4.67,모름,두 번,없음,없음,보통,좋음,모름
인공지능 및 핀테크 서비스,1,서문석,핀테크,심화전공,3영역,수정,3.0/2.0/1.0,목/7-9,일반,,3.11,전자출결,두 번,보통,없음,보통,나쁨,풀강
핀테크와 응용암호 1,1,문현석,핀테크,심화전공,3영역,수정,3.0/2.0/1.0,목/7-9,일반,,4,모름,모름,모름,모름,모름,좋음,모름
금융암호 구현 1,1,김수리,핀테크,심화전공,3영역,수정,3.0/1.0/2.0,목/1-3,원격(블렌디드형),,4.38,반영안함,한 번,보통,없음,너그러움,좋음,모름
보험수리학,1,김탁원,핀테크,심화전공,3영역,수정,3.0/2.0/1.0,월/4-6,일반,,4.67,직접호명,두 번,보통,없음,보통,좋음,모름
핀테크 캡스톤디자인 1,1,라성채,핀테크,심화전공,4영역,수정,3.0/1.0/2.0,화/7-9,일반,,5,모름,모름,모름,모름,모름,좋음,모름
일반화학실험 1,1,김경순,화학·에너지융합학부,핵심전공,1영역,운정,2.0/0.0/3.0,화/4-6,일반,,4.22,직접호명,두 번,많음,보통,보통,좋음,풀강 아님
일반화학실험 1,2,이은경,화학·에너지융합학부,핵심전공,1영역,운정,2.0/0.0/3.0,수/4-6,일반(블렌디드형),,4.51,직접호명,두 번,보통,보통,보통,좋음,모름
일반화학실험 1,3,구본재,화학·에너지융합학부,핵심전공,1영역,운정,2.0/0.0/3.0,수/4-6,일반(블렌디드형),,2.84,직접호명,두 번,보통,많음,보통,나쁨,풀강 아님
일반화학실험 1,4,이은경,화학·에너지융합학부,핵심전공,1영역,운정,2.0/0.0/3.0,수/7-9,일반(블렌디드형),,4.51,직접호명,두 번,보통,보통,보통,좋음,모름
일반화학실험 1,5,박도경,화학·에너지융합학부,핵심전공,1영역,운정,2.0/0.0/3.0,목/1-3,일반(블렌디드형),,3.67,직접호명,두 번,보통,보통,보통,좋음,모름
일반화학실험 1,6,오다경,화학·에너지융합학부,핵심전공,1영역,운정,2.0/0.0/3.0,목/1-3,일반(블렌디드형),,4.44,직접호명,두 번,보통,보통,보통,좋음,모름
일반화학실험 1,7,김경순,화학·에너지융합학부,핵심전공,1영역,운정,2.0/0.0/3.0,목/4-6,일반,,4.22,직접호명,두 번,많음,보통,보통,좋음,풀강 아님
일반화학실험 1,8,오다경,화학·에너지융합학부,핵심전공,1영역,운정,2.0/0.0/3.0,목/4-6,일반(블렌디드형),,4.44,직접호명,두 번,보통,보통,보통,좋음,모름
일반화학실험 1,9,김경순,화학·에너지융합학부,핵심전공,1영역,운정,2.0/0.0/3.0,목/7-9,일반,,4.22,직접호명,두 번,많음,보통,보통,좋음,풀강 아님
일반화학실험 1,10,이향애,화학·에너지융합학부,핵심전공,1영역,운정,2.0/0.0/3.0,목/7-9,일반(블렌디드형),,4.64,직접호명,두 번,많음,없음,보통,좋음,풀강
일반화학실험 1,11,박도경,화학·에너지융합학부,핵심전공,1영역,운정,2.0/0.0/3.0,화/1-3,일반(블렌디드형),,3.67,직접호명,두 번,보통,보통,보통,좋음,모름
일반화학실험 1,12,김경순,화학·에너지융합학부,핵심전공,1영역,운정,2.0/0.0/3.0,화/1-3,일반,,4.22,직접호명,두 번,많음,보통,보통,좋음,풀강 아님
화학으로 본 세상,1,박소현,화학·에너지융합학부,핵심전공,1영역,운정,2.0/2.0/0.0,화/2-3,일반,[GeM(자연의설명)],4.7,전자출결,두 번,없음,없음,보통,좋음,모름
물리화학 1,1,이철우,화학·에너지융합학부,핵심전공,2영역,운정,3.0/3.0/0.0,목/1-3,일반(블렌디드형),,3.18,전자출결,두 번,없음,없음,보통,보통,모름
유기화학 1,1,채정현,화학·에너지융합학부,핵심전공,2영역,운정,3.0/3.0/0.0,월/4-6,일반,,4.69,전자출결,두 번,없음,없음,보통,좋음,풀강
분석화학 1,1,신민정,화학·에너지융합학부,핵심전공,2영역,운정,3.0/3.0/0.0,수/7-9,일반(블렌디드형),,4.55,전자출결,두 번,보통,없음,보통,좋음,모름
분석화학실험,1,신민정,화학·에너지융합학부,핵심전공,2영역,운정,2.0/0.0/3.0,월/7-9,일반,,4.61,지정좌석,한 번,보통,없음,보통,좋음,모름
생화학 1,1,박성순,화학·에너지융합학부,핵심전공,2영역,운정,3.0/3.0/0.0,수/4-6,일반,,3.42,전자출결,세 번,없음,없음,깐깐함,좋음,풀강
유기화학실험,1,이은경,화학·에너지융합학부,핵심전공,2영역,운정,2.0/0.0/3.0,화/4-6,일반,,4.62,직접호명,두 번,보통,보통,보통,보통,모름
유기화학실험,2,이은경,화학·에너지융합학부,핵심전공,2영역,운정,2.0/0.0/3.0,화/7-9,일반,,4.62,직접호명,두 번,보통,보통,보통,보통,모름
에너지공학개론,1,구본재,화학·에너지융합학부,핵심전공,2영역,운정,3.0/3.0/0.0,목/4-6,일반,,2.72,반영안함,두 번,보통,없음,깐깐함,보통,풀강 아님
무기화학 1,1,조준상,화학·에너지융합학부,심화전공,3영역,운정,3.0/3.0/0.0,월/4-6,일반(블렌디드형),,2.85,전자출결,두 번,보통,없음,보통,나쁨,모름
무기화학실험,1,조준상,화학·에너지융합학부,심화전공,3영역,운정,2.0/0.0/3.0,월/7-9,일반(블렌디드형),,2.45,지정좌석,한 번,보통,없음,보통,나쁨,풀강 아님
유기분광학,1,박소현,화학·에너지융합학부,심화전공,3영역,운정,3.0/3.0/0.0,수/4-6,일반(블렌디드형),,4.17,전자출결,두 번,없음,없음,깐깐함,나쁨,풀강 아님
물리화학 3,1,이철우,화학·에너지융합학부,심화전공,3영역,운정,3.0/3.0/0.0,화/1-3,일반(블렌디드형),,4.52,전자출결,두 번,없음,없음,보통,좋음,풀강
생화학실험,1,박성순,화학·에너지융합학부,심화전공,3영역,운정,2.0/0.0/3.0,화/7-9,일반,,4.2,직접호명,한 번,보통,보통,보통,보통,모름
생화학실험,2,박성순,화학·에너지융합학부,심화전공,3영역,운정,2.0/0.0/3.0,수/7-9,일반,,4.2,직접호명,한 번,보통,보통,보통,보통,모름
전기화학,1,마선일,화학·에너지융합학부,심화전공,3영역,운정,3.0/3.0/0.0,목/4-6,일반,,3.13,전자출결,두 번,없음,없음,너그러움,나쁨,모름
에너지 변환 및 저장,1,마선일,화학·에너지융합학부,심화전공,3영역,운정,3.0/3.0/0.0,화/4-6,일반,,3.6,전자출결,두 번,없음,없음,보통,좋음,모름
유기화학특강,1,박소현,화학·에너지융합학부,심화전공,4영역,운정,3.0/3.0/0.0,월/7-9,원격(녹화콘텐츠),,3.15,전자출결,두 번,없음,없음,보통,보통,풀강 아님
물리화학특강,1,이철우,화학·에너지융합학부,심화전공,4영역,운정,3.0/3.0/0.0,화/4-6,일반(블렌디드형),,4.33,모름,두 번,없음,없음,보통,좋음,풀강 아님
나노재료화학 1,1,구본재,화학·에너지융합학부,심화전공,4영역,운정,3.0/3.0/0.0,수/7-9,일반(블렌디드형),,4,직접호명,두 번,없음,없음,보통,보통,모름
연구프로젝트 종합설계 1,1,마선일,화학·에너지융합학부,심화전공,4영역,운정,3.0/0.0/3.0,금/7-9,일반,연구프로젝트를 수행할 화학에너지융합학부 소속 교수님께 미리 컨택하여 사전 승인된 학생만 수강신청 가능,모름,모름,모름,모름,모름,모름,모름,모름
일반화학 Ⅰ,1,이향애,화학·에너지융합학부,핵심교양,자연의설명,운정,3.0/3.0/0.0,월/4-6,일반,,2.88,직접호명,두 번,보통,없음,보통,나쁨,풀강
일반화학 Ⅰ,2,이향애,화학·에너지융합학부,핵심교양,자연의설명,운정,3.0/3.0/0.0,수/1-3,일반,,2.88,직접호명,두 번,보통,없음,보통,나쁨,풀강
일반화학 Ⅰ,3,이향애,화학·에너지융합학부,핵심교양,자연의설명,운정,3.0/3.0/0.0,목/1-3,일반,,2.88,직접호명,두 번,보통,없음,보통,나쁨,풀강
일반물리학 Ⅰ,1,유상구,화학·에너지융합학부,핵심교양,자연의설명,운정,3.0/3.0/0.0,금/1-3,일반,청정신소재공학과(청정융합에너지공학과) 필수이수과목,4.8,전자출결,두 번,보통,없음,보통,좋음,풀강 아님
식품학개론,1,김재철,바이오헬스융합학부,핵심전공,1영역,운정,3.0/3.0/0.0,수/7-9,일반,[1학년전공탐색][GeM(자연의설명)],4.78,전자출결,두 번,보통,없음,보통,좋음,풀강 아님
보건학개론,1,강태욱,바이오헬스융합학부,핵심전공,1영역,운정,3.0/3.0/0.0,수/4-6,일반,[1학년전공탐색][GeM(공학과기술)],4.11,전자출결,두 번,보통,보통,보통,좋음,풀강 아님
보건통계학,1,강태욱,바이오헬스융합학부,핵심전공,2영역,운정,3.0/3.0/0.0,목/7-9,일반,,4.22,전자출결,두 번,없음,없음,너그러움,좋음,풀강 아님
헬스케어 커뮤니케이션,1,강태욱,바이오헬스융합학부,심화전공,3영역,운정,3.0/3.0/0.0,수/7-9,일반,*외국어전용강좌(영어),4.33,전자출결,한 번,보통,보통,보통,좋음,모름
보건영양학,1,장은희,바이오헬스융합학부,심화전공,4영역,운정,3.0/3.0/0.0,화/7-9,일반,,4.2,직접호명,세 번,보통,보통,보통,좋음,모름
보건사업관리,1,강태욱,바이오헬스서비스,핵심전공,2영역,운정,3.0/3.0/0.0,목/4-6,일반,*외국어전용강좌(영어),3.57,전자출결,없음,보통,많음,너그러움,보통,모름
데이터분석을 위한 수학,1,강대성,바이오헬스서비스,핵심전공,2영역,운정,3.0/3.0/0.0,화/4-6,일반,,4.25,전자출결,두 번,보통,없음,너그러움,좋음,풀강
데이터분석Ⅰ(SAS Programming),1,강신우,바이오헬스서비스,핵심전공,2영역,운정,3.0/3.0/0.0,수/7-9,일반,,4.4,직접호명,두 번,없음,없음,보통,좋음,모름
보건의료데이터분석Ⅱ(보건의료영상분석),1,강대성,바이오헬스서비스,심화전공,3영역,운정,3.0/3.0/0.0,수/4-6,일반,,3,모름,모름,모름,모름,모름,모름,풀강
헬스케어디바이스설계,1,강대성,바이오헬스서비스,심화전공,4영역,운정,3.0/3.0/0.0,목/4-6,일반,*외국어전용강좌(영어),5,모름,모름,모름,모름,모름,좋음,모름
영양생화학 1,1,황신우,식품영양학,핵심전공,2영역,운정,3.0/3.0/0.0,월/7-9,일반,,4.88,직접호명,두 번,없음,없음,너그러움,좋음,모름
식생활관리,1,고성희,식품영양학,핵심전공,2영역,운정,3.0/3.0/0.0,수/7-9,일반,[GeM(공학과기술)],4.14,직접호명,두 번,보통,보통,보통,좋음,풀강 아님
조리원리,1,고성희,식품영양학,핵심전공,2영역,운정,3.0/3.0/0.0,화/7-9,일반,,4.33,직접호명,세 번,없음,없음,보통,좋음,모름
유기화학,1,이석희,식품영양학,핵심전공,2영역,운정,3.0/3.0/0.0,화/4-6,일반,,4.92,직접호명,두 번,없음,없음,보통,좋음,풀강 아님
고급영양학,1,이승민,식품영양학,핵심전공,2영역,운정,3.0/3.0/0.0,수/4-6,일반,,4.21,직접호명,두 번,보통,보통,보통,좋음,풀강
식품미생물학,1,현정은,식품영양학,핵심전공,2영역,운정,3.0/3.0/0.0,월/4-6,원격(녹화콘텐츠),,4.71,직접호명,두 번,보통,보통,너그러움,좋음,풀강 아님
식품화학실험,1,김재철,식품영양학,심화전공,3영역,운정,2.0/0.0/3.0,목/7-9,일반,*외국어전용강좌(영어),5,직접호명,두 번,많음,보통,너그러움,좋음,풀강 아님
영양교육 및 상담실습,1,이승민,식품영양학,심화전공,3영역,운정,2.0/0.0/3.0,목/4-6,일반,,3.72,직접호명,한 번,많음,많음,보통,좋음,모름
실험조리 및 관능검사,1,송하연,식품영양학,심화전공,3영역,운정,2.0/0.0/3.0,월/7-9,일반,,4.33,모름,두 번,많음,많음,보통,좋음,풀강 아님
단체급식관리,1,고성희,식품영양학,심화전공,3영역,운정,3.0/3.0/0.0,수/4-6,일반,,모름,모름,모름,모름,모름,모름,좋음,풀강 아님
임상영양학,1,황신우,식품영양학,심화전공,3영역,운정,3.0/3.0/0.0,화/4-6,일반,,4.86,직접호명,두 번,없음,없음,너그러움,좋음,모름
단체급식 및 실습,1,고성희,식품영양학,심화전공,4영역,운정,2.0/0.0/3.0,목/7-9,일반,,4.67,직접호명,한 번,보통,보통,보통,좋음,모름
영양사현장실습,1,김재철,식품영양학,심화전공,4영역,운정,2.0/0.0/3.0,미정,일반,*3학년 이상 해당,5,모름,모름,모름,모름,모름,모름,모름
디지털컨텐츠,1,안민지,공과대학,핵심전공,1영역,수정,3.0/0.0/3.0,목/4-6,일반,[1학년전공탐색] [GeM(SW문해)],3.32,직접호명,없음,많음,없음,보통,나쁨,풀강 아님
디지털컨텐츠,2,한세영,공과대학,핵심전공,1영역,수정,3.0/0.0/3.0,금/7-9,일반,[1학년전공탐색] [GeM(SW문해)],4.61,직접호명,한 번,보통,없음,보통,좋음,풀강
웹프로그래밍기초,1,김경진,공과대학,핵심전공,1영역,수정,3.0/0.0/3.0,화/4-6,일반,[1학년전공탐색] [GeM(SW문해)],4.74,전자출결,두 번,보통,없음,보통,좋음,풀강 아님
웹프로그래밍기초,2,이혜리,공과대학,핵심전공,1영역,수정,3.0/0.0/3.0,화/4-6,일반,[1학년전공탐색] [GeM(SW문해)],4.53,전자출결,두 번,보통,없음,보통,좋음,풀강
웹프로그래밍기초,3,김경진,공과대학,핵심전공,1영역,수정,3.0/0.0/3.0,화/7-9,일반,[1학년전공탐색] [GeM(SW문해)],4.74,전자출결,두 번,보통,없음,보통,좋음,풀강 아님
웹프로그래밍기초,4,정선진,공과대학,핵심전공,1영역,수정,3.0/0.0/3.0,화/4-6,일반,[1학년 전공탐색] [GeM(SW문해)],4.8,직접호명,두 번,보통,없음,보통,좋음,풀강 아님
