과목명,교수명,개설학과전공,이수구분,영역,캠퍼스,수업유형,출결,시험,과제,조모임,성적,강의 시간,강의력,평점,전체 벡터
국제학생을 위한 한국어 III,장미경,국제교류지원팀,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
국제학생을 위한 실용 한국어 어휘와 문법,장미경,국제교류지원팀,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
한국 문화의 이해,황혜란,국제교류지원팀,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
한국 문화의 이해,최은진,국제교류지원팀,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
한국 사회의 이해,최수진,국제교류지원팀,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
한국 사회의 이해,유희복,국제교류지원팀,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
International Seminar: Korean and Global Affairs,김장욱,국제교류지원팀,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,0,0,"[1, 0, 0, 0]",0,1,0.5,"[0.2, 0.0, 0.0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
Global Cultural Studies,김장욱,국제교류지원팀,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
국제학생을 위한  대학 한국어 I,장미경,국제교류지원팀,진로소양,도전과실천,"[0, 1]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 0.0]"
국제 학생을 위한 한국어 회화 I,강선화,국제교류지원팀,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
스타트업 트렌드,김성호,창업지원팀,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,0.5,0,"[1, 0, 0, 0]",0,1,0.5,"[0.2, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
스타트업 트렌드,지윤정,창업지원팀,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,0.5,0,"[1, 0, 0, 0]",0,1,0.4,"[0.2, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.8]"
창업을 위한 법의 이해,이재훈,창업지원팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,0.5,"[0.6, 0.0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 0, 1, 0, 1.0]"
뷰티 창업론,이채현,창업지원팀,진로소양,도전과실천,"[0, 1]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0.5,1,"[1, 0, 0, 0]",0,1,0.5,"[0.4, 0.5, 1.0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 1.0]"
창업과 재무제표 분석,김성빈,창업지원팀,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0.6, 0.5, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
실전창업과 상권분석,구웅모,창업지원팀,진로소양,도전과실천,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0.5,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[0, 1]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 0, 1, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[0, 1]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 0, 1, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[0, 1]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 0, 1, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[0, 1]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 0, 1, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
