과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
미디어 데이터 분석,박윤정,미디어커뮤니케이션학과,핵심전공,2영역,"[0, 0, 0]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 0.0]",
마케팅원론,김종배,경영학과,핵심전공,2영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",0,1,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 0.0, 1.0, 0.8]",
마케팅원론,변경희,경영학과,핵심전공,2영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",1,1,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 1.0, 1.0, 0.8]",
마케팅커뮤니케이션캠페인,임희원,미디어커뮤니케이션학과,심화전공,3영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,1,1,"[0, 0, 0, 1]",0.5,1,0.2,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 1.0, 1.0, 0, 0, 0, 1, 0.5, 1.0, 0.4]",
미디어비즈니스,심상민,미디어커뮤니케이션학과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0.5,0.5,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.5, 0.5, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
미디어 서비스 기획,박윤정,미디어커뮤니케이션학과,심화전공,3영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,1,"[1, 0, 0, 0]",0,1,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.5, 1.0, 1, 0, 0, 0, 0.0, 1.0, 0.8]",
대중문화와 문화연구,심두보,미디어커뮤니케이션학과,심화전공,3영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.5, 0.0, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
대중문화와 문화연구,김호영,미디어커뮤니케이션학과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,1,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 1.0, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
데이터 기반 PR 기획,이형민,미디어커뮤니케이션학과,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,0.5,1,"[1, 0, 0, 0]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 0.5, 1.0, 1, 0, 0, 0, 1.0, 1.0, 1.0]",
저널리즘 글쓰기,박영흠,미디어커뮤니케이션학과,심화전공,3영역,"[0, 0, 0]","[0, 0, 0, 1, 0]",0.4,1,0,"[1, 0, 0, 0]",0.5,1,0.5,"[0, 0, 0, 0, 0, 0, 1, 0, 0.4, 1.0, 0.0, 1, 0, 0, 0, 0.5, 1.0, 1.0]",
문화콘텐츠 기반 공공외교,윤영삼,미디어커뮤니케이션학과,심화전공,3영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
세계 미디어산업 정책,심상민,미디어커뮤니케이션학과,심화전공,4영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,1,0,"[0, 1, 0, 0]",1,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 1.0, 0.0, 0, 1, 0, 0, 1.0, 0.5, 0.8]",
미디어세미나,심상민,미디어커뮤니케이션학과,심화전공,4영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.2,1,0.5,"[0, 1, 0, 0]",0.5,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.2, 1.0, 0.5, 0, 1, 0, 0, 0.5, 0.5, 0.8]",
문화와 비평,정슬아,국어국문학과,심화전공,4영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 3, 1, 0, 0, 0, 0, 0.4, 0.5, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
미국 드라마 스토리텔링,마이클 엘리어트,영어영문학과,심화전공,4영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0.5,"[0, 1, 0, 0]",1,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.5, 0, 1, 0, 0, 1.0, 0.5, 0.8]",
