과목명,교수명,개설학과전공,이수구분,영역,캠퍼스,수업유형,수강안내 및 지정내용,평점,출결,시험,과제,조모임,성적,강의 시간,강의력,확인,시간표,파일명,전체 벡터
고급기계학습,고원준,AI융합학부,심화전공,3영역,"[1, 0]","[0, 0, 3]",,0.0,"[0, 0, 0, 0, 0]",0.6,1,0,"[0, 0, 0, 0]",0,1.0,,금/1-3,AI융합학부_data_3영역_일반.csv,"[0.6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.0]"
캡스톤디자인,유재현,AI융합학부,심화전공,4영역,"[1, 0]","[0, 0, 3]",,1.0,"[0, 0, 0, 0, 0]",0.2,0,1,"[1, 0, 0, 0]",0,1.0,프로젝트 수업이라 강의력에 대한 이야기가 없음,화/1-3,AI융합학부_data_4영역_일반.csv,"[0.2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
지능형 게임,변혜원,AI융합학부,심화전공,4영역,"[1, 0]","[0, 0, 3]",,0.8,"[1, 0, 0, 0, 0]",0.2,1,0,"[0, 1, 0, 0]",1,1.0,,화/4-6,AI융합학부_data_4영역_일반.csv,"[0.2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1.0, 0, 0, 3, 1, 0, 0.8]"
이산수학,홍기형,AI융합학부,핵심전공,1영역,"[1, 0]","[3, 0, 0]",[1학년전공탐색] [GeM(경험적수리적추리)],1.0,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,월/7-9,공과대학_전공_data_1영역_블렌디드.csv,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 3, 0, 0, 1, 0, 1.0]"
이산수학,홍기형,AI융합학부,핵심전공,1영역,"[1, 0]","[3, 0, 0]",[1학년전공탐색] [GeM(경험적수리적추리)],1.0,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,목/7-9,공과대학_전공_data_1영역_블렌디드.csv,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 3, 0, 0, 1, 0, 1.0]"
디지털컨텐츠,안민지,서비스디자인공학과,핵심전공,1영역,"[1, 0]","[0, 0, 3]",[1학년전공탐색] [GeM(SW문해)],0.8,"[0, 1, 0, 0, 0]",0.2,1,1,"[0, 1, 0, 0]",0,0.0,,목/4-6,공과대학_전공_data_1영역_일반.csv,"[0.2, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0, 0, 3, 1, 0, 0.8]"
디지털컨텐츠,안민지,AI융합학부,핵심전공,1영역,"[1, 0]","[0, 0, 3]",[1학년전공탐색] [GeM(SW문해)],0.8,"[0, 1, 0, 0, 0]",0.2,1,1,"[0, 1, 0, 0]",0,0.0,,목/4-6,공과대학_전공_data_1영역_일반.csv,"[0.2, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0, 0, 3, 1, 0, 0.8]"
디지털컨텐츠,한세영,서비스디자인공학과,핵심전공,1영역,"[1, 0]","[0, 0, 3]",[1학년전공탐색] [GeM(SW문해)],1.0,"[0, 1, 0, 0, 0]",0.4,1,0,"[1, 0, 0, 0]",1,1.0,,금/7-9,공과대학_전공_data_1영역_일반.csv,"[0.4, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1.0, 0, 0, 3, 1, 0, 1.0]"
디지털컨텐츠,한세영,AI융합학부,핵심전공,1영역,"[1, 0]","[0, 0, 3]",[1학년전공탐색] [GeM(SW문해)],1.0,"[0, 1, 0, 0, 0]",0.4,1,0,"[1, 0, 0, 0]",1,1.0,,금/7-9,공과대학_전공_data_1영역_일반.csv,"[0.4, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1.0, 0, 0, 3, 1, 0, 1.0]"
웹프로그래밍기초,김경진,융합보안공학과,핵심전공,1영역,"[1, 0]","[0, 0, 3]",[1학년전공탐색] [GeM(SW문해)],1.0,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,화/7-9,공과대학_전공_data_1영역_일반.csv,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
