과목명,교수명,개설학과전공,이수구분,영역,캠퍼스,수업유형,수강안내 및 지정내용,평점,출결,시험,과제,조모임,성적,강의 시간,강의력,확인,시간표,학년,필수,전체 벡터
기업 환경 홍보의 의미와 미래,서경덕,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,0.0,"[0, 0, 0, 0, 0]",0.6,1,0,"[0, 0, 0, 0]",0,1.0,,수/1-3,1.0,필수 아님,"[0.6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.0]"
영미 대중음악과 문화,마이클 엘리어트,공통,진로소양,도전과실천,"[0, 1]","[0, 0, 3]",,1.0,"[0, 1, 0, 0, 0]",0.2,1,1,"[1, 0, 0, 0]",0,0.0,,월/1-3,1.0,필수 아님,"[0.2, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0.0, 0, 0, 3, 0, 1, 1.0]"
시사로 중국문화 읽기,강선화,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,0.0,"[0, 0, 0, 0, 0]",0.6,1,1,"[0, 0, 0, 0]",0,1.0,,금/7-9,1.0,필수 아님,"[0.6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.0]"
Basic Communication Skills,김장욱,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",영어 전용 강좌,1.0,"[0, 1, 0, 0, 0]",0.2,1,1,"[1, 0, 0, 0]",0,1.0,,월/1-3,1.0,필수 아님,"[0.2, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
골목경제와 로컬크리에이터,채지민,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,0.8,"[1, 0, 0, 0, 0]",0.2,1,0,"[0, 1, 0, 0]",0,1.0,,수/1-3,1.0,필수 아님,"[0.2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.8]"
로컬 화장품 브랜딩과 소비자 이해,이보영,공통,진로소양,도전과실천,"[1, 0]","[0, 0, 3]",,0.4,"[0, 0, 0, 0, 0]",0.2,1,1,"[0, 1, 0, 0]",0,1.0,,월/1-3,1.0,필수 아님,"[0.2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.4]"
세계의 차 문화,김효주,공통,진로소양,자유선택,"[1, 0]","[0, 0, 3]",,1.0,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,금/4-6,1.0,필수 아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
예비 부모 교육,김선주,공통,진로소양,자유선택,"[0, 1]","[0, 0, 3]",,1.0,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,수/4-6,1.0,필수 아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
필라테스 움직임 과학,이지예,공통,진로소양,자유선택,"[0, 1]","[0, 0, 3]",,0.0,"[0, 0, 0, 0, 0]",0.6,1,0,"[0, 0, 0, 0]",0,1.0,,월/1-3,1.0,필수 아님,"[0.6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 0.0]"
볼링,정영남,공통,진로소양,자유선택,"[1, 0]","[0, 0, 3]",볼링장에서 실습 예정이므로 수업계획서에서 반드시 내용 확인,0.8,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,수/1-3,1.0,필수 아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.8]"
